GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,Unnamed: 85
empty-16-16,16,16,22,0,5,2384185791015630.0,0.0,10.1363636363636,20,2,10.18182,8.43083,0.6054688,1,81.7841999999946,227,834,2718,3,1,3,4,1,5610.7652,227,303,384,16,10,0,0,0,0,0,0,9,54,43,0,0,0,3,42194,49296,1681,0,71076,0,0,441,25419,6342,38342,117,9,3,4,0,300002.6958,-2,289,770,5,1,5,1,1,397.58189999999,227,308,795,4,1,4,4,1,24.3910000000033,227,569,1070,2,1,2,4,
empty-16-16,16,16,23,0,5,1.19209289550781e+16,0.0,9.91304347826087,20,2,10.35507,8.42029,0.6171875,1,21.1242000000202,232,839,2734,3,1,3,4,1,1636.2231,232,353,444,12,23,0,0,0,0,0,0,10,67,43,0,0,0,3,47999,56205,1770,0,79826,0,0,440,29130,7292,43750,175,9,3,4,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,1,27.337500000023304,232,305,786,3,1,3,4,1,23.6326999999583,232,574,1086,2,1,2,4,
empty-16-16,16,16,24,0,5,5.96046447753906e+16,0.0,10.125,20,2,10.75,8.513333,0.6445313,1,22.7968999999575,247,854,2779,3,1,3,4,1,1654.95250000001,247,352,443,12,22,0,0,0,1,0,0,10,66,43,0,0,0,3,48306,56372,1863,0,80550,0,0,440,28886,7031,44016,169,9,3,4,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,1,25.730899999965896,247,320,831,3,1,3,4,1,22.6537000000244,247,589,1131,2,1,2,4,
empty-16-16,16,16,25,0,5,2.98023223876953e+17,0.0,9.88,20,2,10.83692,8.609231,0.6523438,1,23.298999999999104,251,858,2791,3,1,3,4,1,1647.46139999997,251,352,443,12,22,0,0,0,1,0,0,10,66,43,0,0,0,3,48306,56372,1863,0,80550,0,0,440,28886,7031,44016,169,9,3,4,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,1,25.339600000006598,251,324,843,3,1,3,4,1,22.149899999960297,251,593,1143,2,1,2,4,
empty-16-16,16,16,26,0,5,1.49011611938477e+18,0.0,9.76923076923077,20,2,10.77208,8.566952,0.65625,1,26.142200000002,258,845,2755,3,1,3,4,1,2241.2397999999803,258,489,601,13,25,0,0,0,0,0,0,8,75,61,0,0,0,3,64316,77347,4668,0,107960,0,0,446,36258,9068,58479,260,20,3,4,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,1,29.418999999994398,258,331,865,3,1,3,4,1,23.483100000012197,258,600,1165,2,1,2,4,
empty-16-16,16,16,27,0,5,7.45058059692383e+18,0.0,9.74074074074074,20,2,10.650789999999999,8.677249,0.671875,1,45.6228000000119,267,1343,4715,4,1,4,4,1,2582.84090000001,267,521,648,11,36,0,0,0,0,0,0,13,89,66,0,0,0,3,70213,81798,5592,0,123388,0,0,2393,37899,8919,60812,279,21,3,4,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,1,32.1110999999801,267,341,894,3,1,3,4,1,48.9740999999922,267,788,1450,4,1,4,4,
empty-16-16,16,16,28,0,5,3.72529029846191e+19,0.0,9.964285714285712,20,2,10.672410000000001,8.704433,0.6875,1,50.0193000000436,283,1359,4762,4,1,4,4,1,2633.3353999999804,283,521,648,11,36,0,0,0,0,0,0,13,89,66,0,0,0,3,70211,81805,5599,0,123386,0,0,2392,37865,8913,60810,279,21,3,4,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,1,38.188599999994004,283,357,941,3,1,3,4,1,52.6941000000224,283,804,1497,4,1,4,4,
empty-16-16,16,16,29,0,5,1.86264514923096e+20,0.0,9.72413793103448,20,2,10.86437,8.813792999999999,0.703125,1,51.8867000000319,286,1362,4770,4,1,4,4,1,2557.8005000000103,286,521,648,11,36,0,0,0,0,0,0,13,89,66,0,0,0,3,70211,81805,5599,0,123386,0,0,2392,37865,8913,60810,279,21,3,4,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,1,36.5040999999619,286,360,949,3,1,3,4,1,52.982799999998,286,807,1505,4,1,4,4,
empty-16-16,16,16,30,0,5,9.31322574615479e+20,0.0,9.66666666666667,20,2,10.91183,9.139785,0.7070313,1,70.62760000000709,294,2466,8887,4,1,4,4,0,300007.2451,-2,534,689,11,25,0,0,0,106,0,0,20,91,80,0,0,0,6,233309,270624,49638,0,2900574,0,0,163545,59511,21013,185207,284,29,6,3,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,1,189.388299999991,294,368,965,3,1,3,4,1,248.462500000023,294,1101,1773,4,1,4,4,
empty-16-16,16,16,31,0,5,4.6566128730773903e+21,0.0,9.64516129032258,20,2,10.90726,9.137096000000001,0.7226563,1,263.930500000017,303,2444,8741,4,1,4,4,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,0,300000.0,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,1,1501.72080000001,303,396,1035,4,1,4,4,1,262.713099999935,303,1112,1811,4,1,4,4,
