A*+OD+ID Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,Basic-CBS/(A*/SIC)+ID Runtime,ICTS 3E +ID Runtime,EPEA*+ID Runtime,Y Runtime,GridSize,NumOfObstacles,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,NumOfAgents,ObstacleDensity,PointsAtSPRatio,Sparsity,bridges
90.0565,22.0566,100.5036,100.3656,92.6976,22.0566,3600,180,46.26666667,104,12,39.5,38.2,15,0.05,0.1788889,0.0043859649122807015,1
136.3898,56.3967,134.2329,139.3566,130.1575,56.3967,3600,180,42.95,77,12,31.9619,37.89048,20,0.05,0.2152778,0.005847953216374269,1
148.9347,110.3201,193.2171,171.6362,188.773,110.3201,3600,180,42.8,86,3,37.4381,37.93333,20,0.05,0.1863889,0.005847953216374269,8
190.8563,93.0917,157.3424,170.5116,144.4885,93.0917,3600,180,39.9,89,9,35.09048,32.71905,20,0.05,0.1872222000000001,0.005847953216374269,2
201.0809,503.0156,300000.0,473.07099999999997,202.0688,201.0809,3600,180,38.24,78,3,37.11385,38.69538,25,0.05,0.2313889,0.007309941520467836,4
171.21900000000005,73.0335,161.2418,153.8644,148.211,73.0335,3600,180,39.76,79,9,37.52,38.89846,25,0.05,0.2338889,0.007309941520467836,1
247.7584,1208.3063,5178.3194,229.6416,238.4611,229.6416,3600,180,39.04,84,4,39.083079999999995,34.83077,25,0.05,0.24222220000000005,0.007309941520467836,4
210.9103,147.1829,236.445,273.8045,238.9998,147.1829,3600,180,38.4,76,7,38.68387,36.93763,30,0.05,0.2608333,0.008771929824561403,5
168.4657,45.9932,190.6784,181.5574,196.9186,45.9932,3600,180,33.43333333,73,7,35.77204000000001,34.961290000000005,30,0.05,0.23972220000000002,0.008771929824561403,8
322.2117,137.751,405.8706,369.9361,327.4756,137.751,3600,180,38.63333333,90,5,39.492470000000004,34.72473,30,0.05,0.2558333,0.008771929824561403,2
397.0577,283.5348,440.3649,407.8266,425.4986,283.5348,3600,180,36.94285714,82,4,39.05079,35.1619,35,0.05,0.2925,0.01023391812865497,2
366.1215,343.315,416.7443,382.9215,372.4201,343.315,3600,180,49.31428571,94,8,41.66032,37.29524,35,0.05,0.3744445,0.01023391812865497,1
335.9683,404.5689,339.4762,356.5945,380.1405,335.9683,3600,180,44.22857143,83,4,36.98095,39.56508,35,0.05,0.3091667,0.01023391812865497,7
872.387,174.5446,868.337,838.2254,901.9848,174.5446,3600,180,39.225,93,4,37.75976,37.6561,40,0.05,0.32888890000000004,0.011695906432748536,6
1639.7443,308.7524,1486.4853,1516.2266,1488.3303,308.7524,3600,180,42.8,87,12,38.246340000000004,35.18537,40,0.05,0.3405555,0.011695906432748536,2
724.0928,214.7075,699.2267,666.2221,686.5932,214.7075,3600,180,36.975,65,7,35.21098,40.86829,40,0.05,0.3258333,0.011695906432748536,2
1014.5233,349.6624,971.6010000000001,943.8039,829.3451,349.6624,3600,180,40.13333333,80,7,40.00966,36.26474,45,0.05,0.3322222,0.013157894736842105,3
300000.0,300000.0,583.3164,3286.4823,35206.095,583.3164,3600,180,38.91111111,82,4,37.21546,40.63382,45,0.05,0.3513889,0.013157894736842105,6
1143.0272,208.2686,1070.9901,1029.8095,1064.6858,208.2686,3600,180,43.28888889,86,7,38.14686,39.14203,45,0.05,0.3936111,0.013157894736842105,3
2944.3006,141173.2523,1841.7251,2934.4327,2141.9179,1841.7251,3600,180,38.36,96,8,36.63451,36.76157,50,0.05,0.3783333,0.014619883040935672,3
1389.6719,415.9617,1414.8022,1342.2916,1304.6264,415.9617,3600,180,40.86,85,7,37.39373,36.83294,50,0.05,0.41555559999999997,0.014619883040935672,3
3693.5871,189172.6122,300000.0,1923.9373,2209.7943,1923.9373,3600,180,35.46,72,4,38.75137,38.25333,50,0.05,0.38,0.014619883040935672,3
1947.0782,300000.0,1777.4843,1964.6555,1992.4311,1777.4843,3600,180,38.85454545,97,1,38.11299,35.99610999999999,55,0.05,0.4241667000000001,0.016081871345029242,5
