,GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,Y,Y Success,Y Runtime,GridSize,Sparsity
14,Unknown,20,20,10,0,4,9765625.0,0.0,9.9,25,5,10.41818,8.363636,0.2425,1,11.2421,99,106,321,1,1,1,0,1,0.8123,99,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,41,52,0,0,19,0,0,20,31,7,41,0,0,1,0,1,18.2728,99,106,321,1,1,1,0,1,9.7631,99,106,321,1,1,1,0,1,17.4672,99,106,321,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.8123,400,0.025
15,Unknown,20,20,10,0,5,9765625.0,0.0,16.8,24,7,11.83636,13.07273,0.385,1,46.4412,168,169,484,1,1,1,0,1,0.3311,168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17.3842,168,169,484,1,1,1,0,1,19.0769,168,169,484,1,1,1,0,1,26.4154,168,169,484,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.3311,400,0.025
16,Unknown,20,20,10,0,6,9765625.0,0.0,14.4,31,8,9.527273,12.36364,0.3025,1,10.915,144,155,442,1,1,1,0,1,1.0784,144,2,5,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,66,123,0,0,1,0,0,2,64,31,66,2,0,1,0,1,27.2855,144,155,442,1,1,1,0,1,24.0483,144,155,442,1,1,1,0,1,26.2498,144,155,442,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,1.0784,400,0.025
17,Unknown,20,20,10,0,7,9765625.0,0.0,15.5,30,7,9.963636,12.45455,0.34,1,17.8083,155,177,496,1,1,1,0,1,0.8029,155,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,43,52,0,0,6,0,0,19,34,8,37,0,0,1,0,1,19.4851,155,177,496,1,1,1,0,1,35.1568,155,177,496,1,1,1,0,1,42.0514,155,177,496,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.8029,400,0.025
18,Unknown,20,20,10,0,8,9765625.0,0.0,12.4,29,3,10.61818,13.30909,0.2875,1,14.5101,124,125,371,1,1,1,0,1,0.9451,124,2,5,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,59,81,3,0,8,0,0,4,52,15,58,1,0,1,0,1,18.0224,124,125,371,1,1,1,0,1,18.4294,124,125,371,1,1,1,0,1,11.5267,124,125,371,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.9451,400,0.025
19,Unknown,20,20,10,0,9,9765625.0,0.0,11.4,27,3,14.43636,12.0,0.285,1,18.1915,114,123,340,1,1,1,0,1,1.0237,114,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,66,104,4,0,16,0,0,8,58,19,66,2,0,1,0,1,27.2793,114,123,340,1,1,1,0,1,26.8562,114,123,340,1,1,1,0,1,9.9823,114,123,340,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,1.0237,400,0.025
20,Unknown,20,20,15,0,0,30517578125.0,0.0,10.73333333,28,1,11.38333,9.816667,0.37,1,18.1917,161,162,493,1,1,1,0,1,5.2825,161,2,3,0,2,0,0,0,2,0,0,0,2,0,0,0,0,1,20,37,0,0,0,0,0,0,19,6,20,2,0,1,0,1,21.5384,161,162,493,1,1,1,0,1,52.7662,161,162,493,1,1,1,0,1,18.2999,161,162,493,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,5.2825,400,0.0375
21,Unknown,20,20,15,0,1,30517578125.0,0.0,10.33333333,25,1,11.41667,12.41667,0.3475,1,11.9802,155,156,482,1,1,1,0,1,8.2281,155,3,6,0,1,0,0,0,3,0,0,0,2,1,0,0,0,1,63,98,0,0,4,0,0,9,55,16,63,3,0,1,0,1,13.7155,155,156,482,1,1,1,0,1,21.4402,155,156,482,1,1,1,0,1,15.7191,155,156,482,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,8.2281,400,0.0375
22,Unknown,20,20,15,0,2,30517578125.0,0.0,11.86666667,25,3,8.1,10.88333,0.385,1,56.9228,179,377,1216,2,1,2,1,1,201.1412,179,30,37,7,4,0,0,0,1,0,0,0,5,12,0,0,0,2,2041,2458,2,0,2773,0,0,172,1339,337,1903,19,0,2,1,1,2743.1616,179,1090,2342,2,1,2,1,1,172.0201,179,214,596,2,1,2,1,1,36.7968,179,291,674,2,1,2,1,EPEA*+ID Runtime,1,36.7968,400,0.0375
23,Unknown,20,20,15,0,3,30517578125.0,0.0,12.46666667,25,4,12.01667,11.61667,0.42,1,9.5625,187,192,559,1,1,1,0,1,7.3862,187,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,29,37,1,0,5,0,0,10,24,6,29,0,0,1,0,1,20.5124,187,192,559,1,1,1,0,1,26.525,187,192,559,1,1,1,0,1,18.4501,187,192,559,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,7.3862,400,0.0375
