type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31
Instance-100-0-25-2,0.04281296953558922,-1.064652442932129,-0.3563203811645508,-1.4490970373153687,-1.6576647758483887,0.81910640001297,-1.1187390089035034,-0.8769314885139465,0.13241629302501678,-1.2400928735733032,0.45071539282798767,-0.6630859375,0.9334177374839783,-0.0010620327666401863,-1.5468693971633911,0.7303687930107117,0.6471854448318481,0.352936714887619,-1.7686517238616943,-1.4445953369140625,-1.3884271383285522,1.2835289239883423,0.11380969732999802,-2.0454001426696777,0.679664671421051,-1.2195203304290771,-0.3939911127090454,-0.3457026779651642,-1.1288288831710815,1.3892087936401367,-0.7100239396095276,0.6446523070335388
Instance-100-0-30-0,0.03855156525969505,-1.0083177089691162,-0.41005805134773254,-1.4563759565353394,-1.6889652013778687,0.8726658821105957,-1.138074517250061,-0.8657885193824768,0.09608069062232971,-1.1701873540878296,0.3574545979499817,-0.7221331000328064,0.9315544366836548,-0.015339965932071209,-1.5366159677505493,0.8088638186454773,0.6512622833251953,0.35999882221221924,-1.8275312185287476,-1.4115893840789795,-1.409598469734192,1.3058208227157593,0.09624410420656204,-2.031712770462036,0.7000463604927063,-1.159182071685791,-0.3712698519229889,-0.3562784492969513,-1.1541130542755127,1.4093592166900635,-0.7491375207901001,0.6314405798912048
Instance-100-0-30-1,0.06637000292539597,-1.0553778409957886,-0.4471186399459839,-1.4112694263458252,-1.6949764490127563,0.8584100604057312,-1.1154587268829346,-0.8350278735160828,0.09173575788736343,-1.2669031620025635,0.4320768117904663,-0.7177395224571228,0.965527355670929,0.03888847678899765,-1.5722867250442505,0.8396655917167664,0.6081527471542358,0.28485557436943054,-1.7937648296356201,-1.3911317586898804,-1.391832947731018,1.2413913011550903,0.14478719234466553,-2.045048475265503,0.8140283226966858,-1.1179183721542358,-0.38125908374786377,-0.34351426362991333,-1.1621413230895996,1.4238530397415161,-0.8104672431945801,0.6319910883903503
Instance-100-0-30-2,0.10980013012886047,-1.0146815776824951,-0.36573001742362976,-1.4277286529541016,-1.7016583681106567,0.822262704372406,-1.1483391523361206,-0.773236095905304,0.06806723028421402,-1.1157796382904053,0.44126972556114197,-0.5976827144622803,0.9982390999794006,-0.0006574233993887901,-1.5919256210327148,0.763449490070343,0.6023837327957153,0.33388131856918335,-1.8179712295532227,-1.29104483127594,-1.3704314231872559,1.2260392904281616,0.12629534304141998,-2.0941121578216553,0.8183048367500305,-1.0412474870681763,-0.2823021411895752,-0.3655419647693634,-1.1467721462249756,1.434213638305664,-0.8329815864562988,0.6697415709495544
Instance-100-0-35-0,0.09091006219387054,-1.0011924505233765,-0.439017117023468,-1.4221726655960083,-1.5683618783950806,0.8484175801277161,-1.1058540344238281,-0.7648620009422302,0.1571720689535141,-1.1614711284637451,0.4206177592277527,-0.7139603495597839,1.0112367868423462,0.03740263730287552,-1.5905736684799194,0.8172706365585327,0.6049822568893433,0.34966397285461426,-1.802366018295288,-1.3492064476013184,-1.3569039106369019,1.1892945766448975,0.10798711329698563,-2.0830800533294678,0.8355782628059387,-1.0664243698120117,-0.3111932575702667,-0.26733168959617615,-1.160590648651123,1.4295296669006348,-0.8487609624862671,0.6833868622779846
Instance-100-0-35-1,0.13597428798675537,-1.003565788269043,-0.3927760422229767,-1.360816240310669,-1.6440767049789429,0.8099659085273743,-1.1135728359222412,-0.7314020991325378,0.10106050223112106,-1.1281888484954834,0.412817120552063,-0.6418389081954956,0.9848900437355042,0.00038206492899917066,-1.6082016229629517,0.8200116753578186,0.5566483736038208,0.39363694190979004,-1.8096445798873901,-1.203749656677246,-1.3346537351608276,1.1535718441009521,0.14959114789962769,-2.1358635425567627,0.8268070220947266,-1.0040119886398315,-0.29159441590309143,-0.33339923620224,-1.1520458459854126,1.4286694526672363,-0.8886322975158691,0.6592876315116882
Instance-100-0-35-2,0.10561162978410721,-0.989420473575592,-0.4309687912464142,-1.3606712818145752,-1.5593695640563965,0.8533262014389038,-1.1157305240631104,-0.6853930950164795,0.14179031550884247,-1.1640832424163818,0.39978086948394775,-0.6564643979072571,1.0073001384735107,0.04944441467523575,-1.590408205986023,0.8610976934432983,0.5821792483329773,0.3355741798877716,-1.7920037508010864,-1.277763843536377,-1.345200777053833,1.1575891971588135,0.14682947099208832,-2.0741689205169678,0.9158301949501038,-1.0164363384246826,-0.32029569149017334,-0.3429400622844696,-1.0970240831375122,1.4019829034805298,-0.902510404586792,0.647573709487915
Instance-100-0-40-0,0.14900058507919312,-1.0215572118759155,-0.4092278778553009,-1.358476996421814,-1.5217143297195435,0.8445716500282288,-1.1025233268737793,-0.6977797746658325,0.07560870051383972,-1.130765438079834,0.4451887011528015,-0.6922945380210876,1.030143141746521,0.06921952217817307,-1.5705556869506836,0.8294761180877686,0.5786179304122925,0.3416014015674591,-1.823809027671814,-1.236690640449524,-1.3625752925872803,1.148700475692749,0.13491827249526978,-2.0751256942749023,0.913977324962616,-0.9815436601638794,-0.3050370216369629,-0.35566675662994385,-1.115651249885559,1.3956328630447388,-0.9733089804649353,0.6283312439918518
Instance-100-0-40-1,0.16372603178024292,-0.9789624810218811,-0.47601062059402466,-1.3196027278900146,-1.473899483680725,0.8543059229850769,-1.1408025026321411,-0.6243345141410828,0.08201676607131958,-1.0995144844055176,0.41131454706192017,-0.6377540230751038,1.0396085977554321,0.09426649659872055,-1.5581899881362915,0.8432422280311584,0.5386593341827393,0.36935439705848694,-1.8906821012496948,-1.187117099761963,-1.3578590154647827,1.133246898651123,0.16824743151664734,-2.0997276306152344,0.9485769271850586,-0.9159906506538391,-0.2632090151309967,-0.3335297405719757,-1.123203992843628,1.4389268159866333,-0.9784711003303528,0.6657775044441223
Instance-100-0-40-2,0.1580098569393158,-0.961577296257019,-0.41268840432167053,-1.3056015968322754,-1.5056113004684448,0.8683933019638062,-1.0837998390197754,-0.6848241090774536,0.15195706486701965,-1.0914044380187988,0.3617284595966339,-0.6763744354248047,1.0429928302764893,0.041482824832201004,-1.5607675313949585,0.8681697249412537,0.5551078915596008,0.349101722240448,-1.8190187215805054,-1.1597753763198853,-1.3665767908096313,1.0678616762161255,0.15911152958869934,-2.1353847980499268,0.9119976162910461,-0.9173619747161865,-0.26139819622039795,-0.30457645654678345,-1.1183879375457764,1.4155213832855225,-0.9835515022277832,0.6223832964897156
